dataset,noise_rate,seed,p_grd,dexp,gain
Cora,0.1,1,0.0,2,0.039999961853027344
Cora,0.1,1,0.0,3,0.04100000858306885
Cora,0.1,1,0.0,4,0.03700000047683716
Cora,0.1,1,0.0,5,0.02899998426437378
Cora,0.1,1,0.0,6,0.027000010013580322
Cora,0.1,1,0.0,7,0.029999971389770508
Cora,0.1,1,0.0,8,0.027000010013580322
Cora,0.1,1,0.0,9,0.027000010013580322
Cora,0.1,1,0.0,10,0.034999966621398926
Cora,0.1,1,0.1,0,0.030999958515167236
Cora,0.1,1,0.1,1,0.03700000047683716
Cora,0.1,1,0.1,2,0.007999956607818604
Cora,0.1,1,0.1,3,0.029999971389770508
Cora,0.1,1,0.1,4,0.03700000047683716
Cora,0.1,1,0.1,5,0.02799999713897705
Cora,0.1,1,0.1,6,0.038999974727630615
Cora,0.1,1,0.1,7,0.029999971389770508
Cora,0.1,1,0.1,8,0.03799998760223389
Cora,0.1,1,0.1,9,0.023000001907348633
Cora,0.1,1,0.1,10,0.02399998903274536
Cora,0.1,1,0.2,0,0.03299999237060547
Cora,0.1,1,0.2,1,0.0209999680519104
Cora,0.1,1,0.2,2,0.02899998426437378
Cora,0.1,1,0.2,3,0.004999995231628418
Cora,0.1,1,0.2,4,0.03200000524520874
Cora,0.1,1,0.2,5,0.027000010013580322
Cora,0.1,1,0.2,6,0.0029999613761901855
Cora,0.1,1,0.2,7,0.0
Cora,0.1,1,0.2,8,0.03200000524520874
Cora,0.1,1,0.2,9,0.001999974250793457
Cora,0.1,1,0.2,10,-0.0020000338554382324
Cora,0.1,1,0.3,0,0.02499997615814209
Cora,0.1,1,0.3,1,0.023000001907348633
Cora,0.1,1,0.3,2,0.013000011444091797
Cora,0.1,1,0.3,3,0.004999995231628418
Cora,0.1,1,0.3,4,0.009000003337860107
Cora,0.1,1,0.3,5,-0.0009999871253967285
Cora,0.1,1,0.3,6,-0.004999995231628418
Cora,0.1,1,0.3,7,0.001999974250793457
Cora,0.1,1,0.3,8,-0.0009999871253967285
Cora,0.1,1,0.3,9,-0.0009999871253967285
Cora,0.1,1,0.3,10,0.0
Cora,0.1,1,0.4,0,0.03700000047683716
Cora,0.1,1,0.4,1,0.02399998903274536
Cora,0.1,1,0.4,2,0.009999990463256836
Cora,0.1,1,0.4,3,0.0059999823570251465
Cora,0.1,1,0.4,4,0.0040000081062316895
Cora,0.1,1,0.4,5,0.0
Cora,0.1,1,0.4,6,0.0
Cora,0.1,1,0.4,7,0.0
Cora,0.1,1,0.4,8,0.0
Cora,0.1,1,0.4,9,0.0
Cora,0.1,1,0.4,10,0.0
Cora,0.1,1,0.5,0,0.0339999794960022
Cora,0.1,1,0.5,1,0.023000001907348633
Cora,0.1,1,0.5,2,0.0029999613761901855
Cora,0.1,1,0.5,3,-0.0020000338554382324
Cora,0.1,1,0.5,4,0.0
Cora,0.1,1,0.5,5,0.0
Cora,0.1,1,0.5,6,0.0
Cora,0.1,1,0.5,7,0.0
Cora,0.1,1,0.5,8,0.0
Cora,0.1,1,0.5,9,0.0
Cora,0.1,1,0.5,10,0.0
Cora,0.1,1,0.6,0,0.03700000047683716
Cora,0.1,1,0.6,1,0.013000011444091797
Cora,0.1,1,0.6,2,-0.0020000338554382324
Cora,0.1,1,0.6,3,0.0
Cora,0.1,1,0.6,4,0.0
Cora,0.1,1,0.6,5,0.0
Cora,0.1,1,0.6,6,0.0
Cora,0.1,1,0.6,7,0.0
Cora,0.1,1,0.6,8,0.0
Cora,0.1,1,0.6,9,0.0
Cora,0.1,1,0.6,10,0.0
Cora,0.1,1,0.7,0,0.03299999237060547
Cora,0.1,1,0.7,1,0.0040000081062316895
Cora,0.1,1,0.7,2,-0.0020000338554382324
Cora,0.1,1,0.7,3,0.0
Cora,0.1,1,0.7,4,0.0
Cora,0.1,1,0.7,5,0.0
Cora,0.1,1,0.7,6,0.0
Cora,0.1,1,0.7,7,0.0
Cora,0.1,1,0.7,8,0.0
Cora,0.1,1,0.7,9,0.0
Cora,0.1,1,0.7,10,0.0
Cora,0.1,1,0.8,0,0.0339999794960022
Cora,0.1,1,0.8,1,0.001999974250793457
Cora,0.1,1,0.8,2,-0.008000016212463379
Cora,0.1,1,0.8,3,0.0
Cora,0.1,1,0.8,4,0.0
Cora,0.1,1,0.8,5,0.0
Cora,0.1,1,0.8,6,0.0
Cora,0.1,1,0.8,7,0.0
Cora,0.1,1,0.8,8,0.0
Cora,0.1,1,0.8,9,0.0
Cora,0.1,1,0.8,10,0.0
Cora,0.1,1,0.9,0,0.01699995994567871
Cora,0.1,1,0.9,1,0.0040000081062316895
Cora,0.1,1,0.9,2,0.0
Cora,0.1,1,0.9,3,0.0
Cora,0.1,1,0.9,4,0.0
Cora,0.1,1,0.9,5,0.0
Cora,0.1,1,0.9,6,0.0
Cora,0.1,1,0.9,7,0.0
Cora,0.1,1,0.9,8,0.0
Cora,0.1,1,0.9,9,0.0
Cora,0.1,1,0.9,10,0.0
Cora,0.1,2,0.0,0,0.042999982833862305
Cora,0.1,2,0.0,1,0.04399996995925903
Cora,0.1,2,0.0,2,0.050999999046325684
Cora,0.1,2,0.0,3,0.05899995565414429
Cora,0.1,2,0.0,4,0.046999990940093994
Cora,0.1,2,0.0,5,0.042999982833862305
Cora,0.1,2,0.0,6,0.041999995708465576
Cora,0.1,2,0.0,7,0.0339999794960022
Cora,0.1,2,0.0,8,0.046000003814697266
Cora,0.1,2,0.0,9,0.03799998760223389
Cora,0.1,2,0.0,10,0.04899996519088745
Cora,0.1,2,0.1,0,0.038999974727630615
Cora,0.1,2,0.1,1,0.046999990940093994
Cora,0.1,2,0.1,2,0.03299999237060547
Cora,0.1,2,0.1,3,0.04899996519088745
Cora,0.1,2,0.1,4,0.046000003814697266
Cora,0.1,2,0.1,5,0.05500000715255737
Cora,0.1,2,0.1,6,0.05199998617172241
Cora,0.1,2,0.1,7,0.046000003814697266
Cora,0.1,2,0.1,8,0.04399996995925903
Cora,0.1,2,0.1,9,0.039999961853027344
Cora,0.1,2,0.1,10,0.02399998903274536
Cora,0.1,2,0.2,0,0.05699998140335083
Cora,0.1,2,0.2,1,0.039999961853027344
Cora,0.1,2,0.2,2,0.03200000524520874
Cora,0.1,2,0.2,3,0.042999982833862305
Cora,0.1,2,0.2,4,0.0339999794960022
Cora,0.1,2,0.2,5,0.029999971389770508
Cora,0.1,2,0.2,6,0.0339999794960022
Cora,0.1,2,0.2,7,0.030999958515167236
Cora,0.1,2,0.2,8,0.0209999680519104
Cora,0.1,2,0.2,9,0.0339999794960022
Cora,0.1,2,0.2,10,0.0339999794960022
Cora,0.1,2,0.3,0,0.04499995708465576
Cora,0.1,2,0.3,1,0.02399998903274536
Cora,0.1,2,0.3,2,0.03200000524520874
Cora,0.1,2,0.3,3,0.02599996328353882
Cora,0.1,2,0.3,4,0.026999950408935547
Cora,0.1,2,0.3,5,0.018999993801116943
Cora,0.1,2,0.3,6,0.026999950408935547
Cora,0.1,2,0.3,7,0.018999993801116943
Cora,0.1,2,0.3,8,0.015999972820281982
Cora,0.1,2,0.3,9,0.015999972820281982
Cora,0.1,2,0.3,10,0.018999993801116943
Cora,0.1,2,0.4,0,0.041999995708465576
Cora,0.1,2,0.4,1,0.035999953746795654
Cora,0.1,2,0.4,2,0.02599996328353882
Cora,0.1,2,0.4,3,0.023000001907348633
Cora,0.1,2,0.4,4,0.02499997615814209
Cora,0.1,2,0.4,5,0.018999993801116943
Cora,0.1,2,0.4,6,0.02499997615814209
Cora,0.1,2,0.4,7,0.02499997615814209
Cora,0.1,2,0.4,8,0.018999993801116943
Cora,0.1,2,0.4,9,0.018999993801116943
Cora,0.1,2,0.4,10,0.018999993801116943
Cora,0.1,2,0.5,0,0.04999995231628418
Cora,0.1,2,0.5,1,0.02499997615814209
Cora,0.1,2,0.5,2,0.018999993801116943
Cora,0.1,2,0.5,3,0.018000006675720215
Cora,0.1,2,0.5,4,0.018999993801116943
Cora,0.1,2,0.5,5,0.018999993801116943
Cora,0.1,2,0.5,6,0.019999980926513672
Cora,0.1,2,0.5,7,0.019999980926513672
Cora,0.1,2,0.5,8,0.019999980926513672
Cora,0.1,2,0.5,9,0.019999980926513672
Cora,0.1,2,0.5,10,0.019999980926513672
Cora,0.1,2,0.6,0,0.034999966621398926
Cora,0.1,2,0.6,1,0.023000001907348633
Cora,0.1,2,0.6,2,0.018999993801116943
Cora,0.1,2,0.6,3,0.018999993801116943
Cora,0.1,2,0.6,4,0.018999993801116943
Cora,0.1,2,0.6,5,0.0
Cora,0.1,2,0.6,6,0.0
Cora,0.1,2,0.6,7,0.0
Cora,0.1,2,0.6,8,0.0
Cora,0.1,2,0.6,9,0.0
Cora,0.1,2,0.6,10,0.0
Cora,0.1,2,0.7,0,0.034999966621398926
Cora,0.1,2,0.7,1,0.023000001907348633
Cora,0.1,2,0.7,2,0.018999993801116943
Cora,0.1,2,0.7,3,0.019999980926513672
Cora,0.1,2,0.7,4,0.0
Cora,0.1,2,0.7,5,0.0
Cora,0.1,2,0.7,6,0.0
Cora,0.1,2,0.7,7,0.0
Cora,0.1,2,0.7,8,0.0
Cora,0.1,2,0.7,9,0.0
Cora,0.1,2,0.7,10,0.0
Cora,0.1,2,0.8,0,0.039999961853027344
Cora,0.1,2,0.8,1,0.023000001907348633
